epoch_time,mean_train_loss,mean_val_loss,train_acc,val_acc
2.935879421234131,26051.9921875,16217.0400390625,0.20119323831620817,0.35587975243147657
2.861878991127014,37131.97265625,13927.5791015625,0.4323279195668987,0.5017683465959328
2.725915992259979,21778.751953125,28321.931640625,0.49906087725113246,0.5335985853227233
2.749961344401042,102018.5390625,60410.44140625,0.5812617390343608,0.6326259946949602
2.643279771010081,52336.64453125,36397.05859375,0.642691415313225,0.6061007957559682
2.578881533940633,32125.751953125,37614.90234375,0.6734062534526571,0.6158267020335986
2.5816138704617817,31833.47265625,56211.48828125,0.7012484808308475,0.5910698496905393
2.5850014448165894,31913.828125,32809.95703125,0.7222406363937687,0.6423519009725907
2.579943613211314,27014.669921875,36598.671875,0.7380399955805989,0.6816976127320955
2.580462869008382,29367.3125,51014.83984375,0.7545022649431002,0.6507515473032714
2.581173344453176,33259.640625,67180.6484375,0.7642249475196111,0.7015915119363395
2.5767733693122863,29986.83203125,92855.0859375,0.8037785880013258,0.6693191865605659
2.5806244214375815,38898.203125,97045.328125,0.7983648215666778,0.6856763925729443
2.573597419261932,27553.32421875,89916.4453125,0.8273118992376532,0.6927497789566756
2.5815016547838847,42027.89453125,100570.4375,0.8268699591205392,0.7086648983200707
