mean_train_loss,mean_val_loss,train_acc,val_acc
2.803887367248535,51.8594970703125,0.00011048502927853276,0.0
0.0,49.94610595703125,0.00011048502927853276,0.0
441.4571533203125,6329.30078125,0.0,0.0
0.0,13182.9150390625,0.00011048502927853276,0.0
0.0,20191.126953125,0.00011048502927853276,0.0
0.0,27290.181640625,0.00011048502927853276,0.0
0.0,35056.76171875,0.00011048502927853276,0.0
0.0,42421.34375,0.00011048502927853276,0.0
0.0,50102.7421875,0.00011048502927853276,0.0
0.0,57661.01953125,0.00011048502927853276,0.0
0.0,64879.90625,0.00011048502927853276,0.0
0.0,72348.125,0.00011048502927853276,0.0
0.0,79267.9375,0.00011048502927853276,0.0
0.0,84926.328125,0.00011048502927853276,0.0
0.0,91198.7734375,0.00011048502927853276,0.0
